run_id,file_name,family,model,prompt,is_partial,n_news,n_rows,complete_36x_rows,json_errors,ensemble_op,ensemble_left,ensemble_right,threshold,threshold_value,scope,gold_pairs,pred_pairs,tp_pairs,fp_pairs_vs_scope,fn_pairs,mean_pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,gold_news,pred_any_news,news_with_true_hit,true_hit_news_coverage,false_relevant_news,missed_all_scope_news
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.50__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.50,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,622,393,229,263,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.50__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.50,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,622,393,229,263,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.55__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.35,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.55,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.35,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.55__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.40,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.55,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.40,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.55__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.55,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.45,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.55__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.55,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.50,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.60__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.35,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.60,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.35,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.60__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.40,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.60,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.40,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.60__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.60,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.45,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.60__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.60,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.50,ensemble,,all,656,623,393,230,263,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.35__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.35,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.35,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.35__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.40,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.40,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.35__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.45,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.35__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.50,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.40__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.35,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.40,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.35,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.40__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.40,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.40,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.40,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.40__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.40,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.45,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.40__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.40,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.50,ensemble,,all,656,627,394,233,262,2.6455696202531644,0.6283891547049442,0.600609756097561,0.6141855027279813,0.42040196831197124,0.5522314769150214,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.45__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.35,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.45,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.35,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.45__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.40,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.45,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.40,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.45__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.45,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.45,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.45__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.45,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.50,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.50__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.35,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.50,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.35,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.50__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.40,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.50,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.40,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.50__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.50,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.45,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.50__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.50,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.50,ensemble,,all,656,624,393,231,263,2.632911392405063,0.6298076923076923,0.5990853658536586,0.6140625,0.4210724467942764,0.5523742549059004,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_default__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@default,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,905,460,445,196,3.818565400843882,0.5082872928176796,0.7012195121951219,0.5893657911595132,0.42444681790228517,0.5446565623780812,0.9578059071729957,1.0,0.978448275862069,227,237,205,0.9030837004405287,10,0
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_default__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@default,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,905,460,445,196,3.818565400843882,0.5082872928176796,0.7012195121951219,0.5893657911595132,0.42444681790228517,0.5446565623780812,0.9578059071729957,1.0,0.978448275862069,227,237,205,0.9030837004405287,10,0
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.05__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.05,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,905,460,445,196,3.818565400843882,0.5082872928176796,0.7012195121951219,0.5893657911595132,0.42444681790228517,0.5446565623780812,0.9578059071729957,1.0,0.978448275862069,227,237,205,0.9030837004405287,10,0
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.05__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.05,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,905,460,445,196,3.818565400843882,0.5082872928176796,0.7012195121951219,0.5893657911595132,0.42444681790228517,0.5446565623780812,0.9578059071729957,1.0,0.978448275862069,227,237,205,0.9030837004405287,10,0
