dataset_row_id,title,true_factors,pred_factors,tp_factors,fp_factors,fn_factors,true_count,pred_count,sample_f1,sample_jaccard,needs_review
202,Военные нанесли удары по украинским аэродромам и сбили более 70 дронов ВСУ,crime_count;mortality_rate,industrial_production_index,,industrial_production_index,crime_count;mortality_rate,2,1,0.0,0.0,True
211,Число жертв ударов США и Израиля по Ирану выросло до 787 человек,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
238,В Курской области в результате удара по энергообъекту есть погибший и раненые,crime_count;mortality_rate,industrial_production_index,,industrial_production_index,crime_count;mortality_rate,2,1,0.0,0.0,True
250,Гросси готов взаимодействовать с Израилем и Ираном для обеспечения безопасности ядерных объектов,air_pollution;crime_count,,,,air_pollution;crime_count,2,0,0.0,0.0,True
252,Пять человек спасены при пожаре в Москве,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
265,Хакеры могут спровоцировать в японской рознице дефицит самого популярного пива,consumer_price_index;enterprises_count,industrial_production_index,,industrial_production_index,consumer_price_index;enterprises_count,2,1,0.0,0.0,True
270,"Законопроект о ""периоде охлаждения"" в потребительском кредитовании прошел I чтение",per_capita_income;real_income_index,consumer_price_index,,consumer_price_index,per_capita_income;real_income_index,2,1,0.0,0.0,True
278,Себестоимость строительства многоквартирных домов вырастет в 2025 году более чем на 6%,housing_area_per_capita;primary_housing_price_index,consumer_price_index,,consumer_price_index,housing_area_per_capita;primary_housing_price_index,2,1,0.0,0.0,True
281,Путин отметил снижение кредитного портфеля банков в первом квартале,enterprises_count;per_capita_income,industrial_production_index,,industrial_production_index,enterprises_count;per_capita_income,2,1,0.0,0.0,True
299,Обнаружены пропавшие в горах на севере Пермского края туристы,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
317,Владельцы пострадавших от атаки БПЛА домов в Анапе получат помощь властей,housing_area_per_capita;per_capita_income,crime_count,,crime_count,housing_area_per_capita;per_capita_income,2,1,0.0,0.0,True
321,"Более 18,7 трлн рублей направят в 2026 г. на обеспечение мер поддержки и выплату пенсий",children_benefits;per_capita_income,consumer_price_index,,consumer_price_index,children_benefits;per_capita_income,2,1,0.0,0.0,True
361,"РФ может направить часть замороженных активов на восстановление территорий, пострадавших в ходе СВО",housing_area_per_capita;per_capita_income,industrial_production_index,,industrial_production_index,housing_area_per_capita;per_capita_income,2,1,0.0,0.0,True
399,"СКР проводит выемку документов в авиакомпании ""Ангара"" после крушения Ан-24",crime_count;mortality_rate,industrial_production_index,,industrial_production_index,crime_count;mortality_rate,2,1,0.0,0.0,True
418,В США ставки по ипотеке находятся на минимуме за год,housing_area_per_capita;primary_housing_price_index,consumer_price_index,,consumer_price_index,housing_area_per_capita;primary_housing_price_index,2,1,0.0,0.0,True
420,В Израиле 16 человек пострадали в результате ракетного удара Ирана,crime_count;life_expectancy,,,,crime_count;life_expectancy,2,0,0.0,0.0,True
424,Белый дом хочет задействовать 200 агентов Иммиграционной и таможенной полиции против нелегалов в Чикаго,international_inflow;international_outflow,crime_count,,crime_count,international_inflow;international_outflow,2,1,0.0,0.0,True
453,Три человека погибли и один пострадал при пожаре на базе отдыха в Хакасии,life_expectancy;mortality_rate,crime_count,,crime_count,life_expectancy;mortality_rate,2,1,0.0,0.0,True
461,В Брянской области в результате атаки БПЛА сгорели жилой дом и семь машин,crime_count;housing_area_per_capita,air_pollution,,air_pollution,crime_count;housing_area_per_capita,2,1,0.0,0.0,True
517,Президент заявил о сложной ситуации в жилищном строительстве в РФ,housing_area_per_capita;primary_housing_price_index,industrial_production_index,,industrial_production_index,housing_area_per_capita;primary_housing_price_index,2,1,0.0,0.0,True
528,Нефтепродукты загорелись в Воронежской области после атаки беспилотников,air_pollution;crime_count,industrial_production_index,,industrial_production_index,air_pollution;crime_count,2,1,0.0,0.0,True
573,Глава Роспотребнадзора рассказала про зарубежный интерес к противоэпидемическим разработкам РФ,life_expectancy;qualified_doctors,international_inflow,,international_inflow,life_expectancy;qualified_doctors,2,1,0.0,0.0,True
578,Четырех человек спасли во время пожара в многоквартирном доме во Владивостоке,life_expectancy;mortality_rate,,,,life_expectancy;mortality_rate,2,0,0.0,0.0,True
636,G7 планирует объявить о готовности к работе над усилением санкционного давления на РФ,enterprises_count;industrial_production_index,,,,enterprises_count;industrial_production_index,2,0,0.0,0.0,True
666,Пять домов повреждены в Краснодарском крае после падения обломков сбитых дронов,crime_count;housing_area_per_capita,,,,crime_count;housing_area_per_capita,2,0,0.0,0.0,True
720,Кремль принял к сведению заявление сенатора Грэма по санкциям против РФ,enterprises_count;industrial_production_index,,,,enterprises_count;industrial_production_index,2,0,0.0,0.0,True
732,Нежилая многоэтажка и частный дом повреждены в Липецкой области после атаки БПЛА,crime_count;housing_area_per_capita,air_pollution,,air_pollution,crime_count;housing_area_per_capita,2,1,0.0,0.0,True
790,Зерноград в Ростовской области остался без воды из-за аварии,housing_area_per_capita;wastewater_discharge,,,,housing_area_per_capita;wastewater_discharge,2,0,0.0,0.0,True
799,Окна жилых домов повреждены обломками БПЛА в Курске,crime_count;housing_area_per_capita,,,,crime_count;housing_area_per_capita,2,0,0.0,0.0,True
805,КС РФ допустил взыскание компенсации морального вреда с наследников обвиняемого,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
809,ЛЭП и здание предприятия повреждены атаками ВСУ в Белгородской области,housing_area_per_capita;industrial_production_index,,,,housing_area_per_capita;industrial_production_index,2,0,0.0,0.0,True
841,"ФАС возбудила дело о картеле на 4,6 млрд рублей при закупках средств очистки воды",crime_count;wastewater_discharge,air_pollution,,air_pollution,crime_count;wastewater_discharge,2,1,0.0,0.0,True
855,В России ожидают осуждения мировыми лидерами удара по селу в Херсонской области,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
868,"Режим ЧС введен на месте пожара в Каменске-Шахтинском, где сгорели дома",housing_area_per_capita;life_expectancy,crime_count,,crime_count,housing_area_per_capita;life_expectancy,2,1,0.0,0.0,True
876,Бренд Loro Piana помещен под судебный контроль из-за обвинений в трудовых нарушениях,crime_count;unemployment_rate,enterprises_count,,enterprises_count,crime_count;unemployment_rate,2,1,0.0,0.0,True
892,"Премьер Эстонии заявил, что НАТО увеличит свое присутствие в Балтийском море",crime_count;industrial_production_index,international_inflow,,international_inflow,crime_count;industrial_production_index,2,1,0.0,0.0,True
897,"Подведена дорога к севшему на мель танкеру ""Волгонефть 239"" в Керченском проливе",air_pollution;wastewater_discharge,industrial_production_index,,industrial_production_index,air_pollution;wastewater_discharge,2,1,0.0,0.0,True
918,"Рынок БАДов в России за пять лет вырос в 2,5 раза",enterprises_count;life_expectancy,consumer_price_index,,consumer_price_index,enterprises_count;life_expectancy,2,1,0.0,0.0,True
942,Этот январь в Москве станет самым теплым за всю историю метеонаблюдений,air_pollution;life_expectancy,,,,air_pollution;life_expectancy,2,0,0.0,0.0,True
949,В результате ДТП в Египте погибла российская туристка,life_expectancy;mortality_rate,,,,life_expectancy;mortality_rate,2,0,0.0,0.0,True
954,Министр коммерции КНР обвинил США в препятствовании развитию мировой торговли,enterprises_count;industrial_production_index,international_inflow,,international_inflow,enterprises_count;industrial_production_index,2,1,0.0,0.0,True
985,В соглашении с Киевом оговорен контроль США над инвестициями в природные ресурсы,enterprises_count;industrial_production_index,,,,enterprises_count;industrial_production_index,2,0,0.0,0.0,True
986,Котельные Пятигорска могут временно приостановить работу из-за отсутствия воды,housing_area_per_capita;wastewater_discharge,air_pollution;industrial_production_index,,air_pollution;industrial_production_index,housing_area_per_capita;wastewater_discharge,2,2,0.0,0.0,True
1,Путин поручил разработать план подъема двух затонувших в Черном море танкеров,air_pollution,industrial_production_index,,industrial_production_index,air_pollution,1,1,0.0,0.0,True
13,Колокольцев указал на ухудшение обстановки в мире на фоне смягчения наркоконтроля в ряде стран,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
17,Работающие россияне смогут получить налоговый вычет за оплату спортивных занятий родителям,per_capita_income,child_living_wage,,child_living_wage,per_capita_income,1,1,0.0,0.0,True
23,Сорвалась очередная ротация экспертов МАГАТЭ на Запорожской АЭС,air_pollution,,,,air_pollution,1,0,0.0,0.0,True
24,Авария на водоканале оставила без воды около пяти тысяч жителей Саратова,wastewater_discharge,,,,wastewater_discharge,1,0,0.0,0.0,True
31,"Что произошло за день: вторник, 17 июня",crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
47,"СД ""Полюса"" рекомендовал финальные дивиденды за 2024 год в 730 руб. на акцию",enterprises_count,,,,enterprises_count,1,0,0.0,0.0,True
50,"Потребрасходы во Франции в декабре выросли на 0,7%, лучше прогноза",real_income_index,consumer_price_index,,consumer_price_index,real_income_index,1,1,0.0,0.0,True
55,"ГК ""Абрау-Дюрсо"" планирует производить винные напитки в Индии",industrial_production_index,international_inflow,,international_inflow,industrial_production_index,1,1,0.0,0.0,True
59,Brookfield за пять лет инвестирует 20 млрд евро в ЦОД и ИИ-инфраструктуру во Франции,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
61,Глава комитета Госдумы Боярский призвал РКН не допустить распространения видео и фото с трагедией в Одинцове,crime_count,,,,crime_count,1,0,0.0,0.0,True
63,"Авианосец ВМС США ""Карл Винсон"" находится вблизи Ирана с почти 50 истребителями",crime_count,,,,crime_count,1,0,0.0,0.0,True
65,Жители двух белгородских сел остались без света после атаки дронов ВСУ,crime_count,,,,crime_count,1,0,0.0,0.0,True
75,Введение уголовного наказания за отрицание геноцида советского народа одобрено в I чтении,crime_count,,,,crime_count,1,0,0.0,0.0,True
81,Роспотребнадзор не исключил роста заболеваемости геморрагической лихорадкой в РФ,life_expectancy,mortality_rate,,mortality_rate,life_expectancy,1,1,0.0,0.0,True
82,"Палата представителей США одобрила законопроект, прекращающий шатдаун",unemployment_rate,industrial_production_index,,industrial_production_index,unemployment_rate,1,1,0.0,0.0,True
84,Три человека погибли в аварии в Орловской области,mortality_rate,crime_count,,crime_count,mortality_rate,1,1,0.0,0.0,True
90,Трамп объявил о заключении торгового соглашения с Южной Кореей,consumer_price_index,,,,consumer_price_index,1,0,0.0,0.0,True
91,На подлете к Севастополю сбито три воздушные цели,crime_count,air_pollution,,air_pollution,crime_count,1,1,0.0,0.0,True
104,В Литву прибыли 52 освобожденных в Белоруссии заключенных,international_inflow,crime_count,,crime_count,international_inflow,1,1,0.0,0.0,True
117,"Бенефициар ""Облкоммунэнерго"" Алексей Бобров задержан в Екатеринбурге",crime_count,enterprises_count,,enterprises_count,crime_count,1,1,0.0,0.0,True
131,На поддержку российской анимации предложено передавать 10% от сборов иностранной,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
135,Ассоциация садоводов сообщила о возможности запрета импорта в РФ плодовых саженцев,industrial_production_index,international_outflow,,international_outflow,industrial_production_index,1,1,0.0,0.0,True
136,Дума во вторник рассмотрит обращение по вопросу эскалации у границ Венесуэлы,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
147,"ЕС расширил санкции против платежных сервисов, в том числе СБП и карт ""Мир""",enterprises_count,,,,enterprises_count,1,0,0.0,0.0,True
148,В Эстонии заявили о готовности направить военных на Украину,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
165,Лидеры США и Австралии обсудили по телефону пошлины,consumer_price_index,international_inflow,,international_inflow,consumer_price_index,1,1,0.0,0.0,True
176,Пожар в бизнес-центре во Владивостоке потушен,mortality_rate,industrial_production_index,,industrial_production_index,mortality_rate,1,1,0.0,0.0,True
177,"FT узнала, что Иран в случае удара США намерен начать полноценную контратаку",crime_count,,,,crime_count,1,0,0.0,0.0,True
181,Минобороны РФ заявило о продвижении войск после взятия под контроль Песчаного в Харьковской области,crime_count,,,,crime_count,1,0,0.0,0.0,True
182,Трамп потребовал от ХАМАС вернуть всех израильских заложников,crime_count,,,,crime_count,1,0,0.0,0.0,True
184,Израиль нанес удар по району расположения офиса Хаменеи,crime_count,,,,crime_count,1,0,0.0,0.0,True
186,Booking во II квартале сократил чистую прибыль на 41%,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
190,Минобороны сообщило о поражении в течение суток более 170 беспилотников ВСУ,crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
193,Наследный принц Саудовской Аравии запустил ИИ-компанию при суверенном фонде страны,enterprises_count,,,,enterprises_count,1,0,0.0,0.0,True
198,Чрезвычайное положение на юге Израиля снято впервые за два года,crime_count,,,,crime_count,1,0,0.0,0.0,True
203,В РФ не зарегистрированы случаи заболевания парапоксвирусной инфекцией,life_expectancy,air_pollution,,air_pollution,life_expectancy,1,1,0.0,0.0,True
204,Китай в ноябре неожиданно снизил импорт газа на фоне подорожания СПГ,industrial_production_index,international_inflow,,international_inflow,industrial_production_index,1,1,0.0,0.0,True
212,Закон об особенностях продажи БАДов в РФ подписан президентом РФ,life_expectancy,,,,life_expectancy,1,0,0.0,0.0,True
224,"Глава Роснедр уверен, что главным бенефициаром развития зеленой энергетики в мире станет медь",industrial_production_index,,,,industrial_production_index,1,0,0.0,0.0,True
226,В Армении завершились совместные с США военные учения,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
236,Москва выразила протест Токио в связи с военными учениями близ российских рубежей,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
241,"Трамп намерен вернуться к идее сокращения ядерных арсеналов США, РФ и Китая",crime_count,,,,crime_count,1,0,0.0,0.0,True
243,ЦБ не ждет проблем на валютном рынке из-за санкций против крупнейших экспортеров,enterprises_count,consumer_price_index,,consumer_price_index,enterprises_count,1,1,0.0,0.0,True
255,Представители России и Киргизии подписали изменения в протокол о развитии ВТС,industrial_production_index,international_inflow,,international_inflow,industrial_production_index,1,1,0.0,0.0,True
261,"США, страны Европы, Украина создали рабочую группу для разработки гарантий безопасности Киеву",crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
262,"Военные РФ заявили, что комплексом ""Искандер"" нанесен удар ВСУ в Сумской области",crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
264,ОАЭ отрицают обвинения Эр-Рияда в попытках обострения конфликта в Йемене,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
266,"Военные РФ сообщили, что Купянск находится под их контролем",crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
269,Пепловый шлейф от камчатского вулкана Шивелуч протянулся на 40 км,air_pollution,,,,air_pollution,1,0,0.0,0.0,True
275,"Прокуратура подтвердила отмену возбуждения уголовных дел по ЖК ""СПб Реновация""",housing_area_per_capita,crime_count,,crime_count,housing_area_per_capita,1,1,0.0,0.0,True
280,"Отклонена апелляция структуры Rio Tinto на взыскание в пользу ""Русала"" 105 млрд рублей",enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
283,Иран готов рассмотреть новые предложения о сотрудничестве от МАГАТЭ,air_pollution,,,,air_pollution,1,0,0.0,0.0,True
285,В Свердловской области объявлен режим ракетной опасности,crime_count,,,,crime_count,1,0,0.0,0.0,True
286,Беспилотник атаковал гражданский автомобиль в Курской области,crime_count,,,,crime_count,1,0,0.0,0.0,True
297,Эрдоган и Трамп обсудят поставки истребителей F-35,crime_count,,,,crime_count,1,0,0.0,0.0,True
315,Генерал Дэн Кейн заявил о полном превосходстве США над Ираном в воздухе,crime_count,,,,crime_count,1,0,0.0,0.0,True
318,Вашингтон разрешил поставки в Китай ИИ-чипов Nvidia H200 с рядом условий,industrial_production_index,international_inflow,,international_inflow,industrial_production_index,1,1,0.0,0.0,True
320,Глава ХДС призвал власти ФРГ повысить траты на оборону как минимум до 2% от ВВП,crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
331,"Китай считает, что все стороны должны способствовать украинскому урегулированию",crime_count,,,,crime_count,1,0,0.0,0.0,True
333,КНДР запустила несколько баллистических ракет малой дальности,crime_count,,,,crime_count,1,0,0.0,0.0,True
334,В Минздраве увидели необходимость профилактики покупки некачественных БАДов из-за рубежа,life_expectancy,consumer_price_index,,consumer_price_index,life_expectancy,1,1,0.0,0.0,True
348,Силы самообороны Тринидада и Тобаго привели в состояние повышенной боеготовности,crime_count,international_outflow,,international_outflow,crime_count,1,1,0.0,0.0,True
350,Законопроект о скидке для родственников при удостоверении договора дарения внесен в ГД,per_capita_income,,,,per_capita_income,1,0,0.0,0.0,True
352,Дюмин предложил пересмотреть некоторые механизмы поддержки участников СВО,per_capita_income,international_inflow,,international_inflow,per_capita_income,1,1,0.0,0.0,True
353,Три украинских дрона были сбиты над Мурманской областью,crime_count,,,,crime_count,1,0,0.0,0.0,True
359,"В ЕС призвали гарантировать Киеву отсутствие ограничений на военную поддержку, численность ВСУ",crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
360,Мишустин пообещал помочь Амурской области в борьбе с пожарами и паводками,air_pollution,industrial_production_index,,industrial_production_index,air_pollution,1,1,0.0,0.0,True
363,"ЕС намерен ввести санкции против ""Северных потоков"" и снизить ""потолок"" цен на нефть из РФ",industrial_production_index,consumer_price_index,,consumer_price_index,industrial_production_index,1,1,0.0,0.0,True
364,В Бразилии локализовали пожар на климатической конференции COP30,air_pollution,,,,air_pollution,1,0,0.0,0.0,True
370,"Российские дальние бомбардировщики Ту-22М3 нанесли удар в ходе учения ""Запад-2025""",crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
374,The Miami Herald сообщила о решении США нанести удары по военным объектам Венесуэлы,crime_count,,,,crime_count,1,0,0.0,0.0,True
377,Три человека погибли от отравления угарным газом в Дагестане,mortality_rate,crime_count,,crime_count,mortality_rate,1,1,0.0,0.0,True
383,"Нефть ускорила рост, Brent подорожала до $65,72 за баррель",consumer_price_index,industrial_production_index,,industrial_production_index,consumer_price_index,1,1,0.0,0.0,True
392,"Мурашко сообщил, что ожирением в РФ страдают 480 тыс. школьников",life_expectancy,mortality_rate,,mortality_rate,life_expectancy,1,1,0.0,0.0,True
393,"""Уральские авиалинии"" в I полугодии увеличили чистую прибыль по РСБУ в 1,8 раза",enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
395,Лула да Силва предложил использовать возможности ООН в украинском урегулировании,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
401,Селевые потоки сошли в нескольких районах Киргизии,mortality_rate,air_pollution;wastewater_discharge,,air_pollution;wastewater_discharge,mortality_rate,1,2,0.0,0.0,True
403,Фермерская продукция в РФ получила собственный ГОСТ,industrial_production_index,consumer_price_index,,consumer_price_index,industrial_production_index,1,1,0.0,0.0,True
407,Военные РФ уничтожили пусковые установки РСЗО HIMARS и ЗРК Patriot ВСУ,crime_count,industrial_production_index,,industrial_production_index,crime_count,1,1,0.0,0.0,True
417,Инспекторы МАГАТЭ покидают Иран,air_pollution,,,,air_pollution,1,0,0.0,0.0,True
421,"""Европлан"" может выплатить дивиденды за 9 месяцев в размере около 7 млрд руб.",enterprises_count,consumer_price_index,,consumer_price_index,enterprises_count,1,1,0.0,0.0,True
423,Песков заявил о готовности РФ содействовать переговорам по иранскому ядерному досье,crime_count,,,,crime_count,1,0,0.0,0.0,True
425,"Ростехнадзор не выявил недостатков, влияющих на эксплуатацию энергоблока №1 ЗАЭС",air_pollution,,,,air_pollution,1,0,0.0,0.0,True
427,DuPont ускорит выделение электронного бизнеса и отказалась выделять водный,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
429,Renault увеличил квартальную выручку чуть хуже прогноза,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
435,В РФ планируют сделать распорядок дня школьников более сбалансированным,life_expectancy,mortality_rate,,mortality_rate,life_expectancy,1,1,0.0,0.0,True
441,Минобороны сообщило о трех сбитых дронах над Крымом,crime_count,,,,crime_count,1,0,0.0,0.0,True
444,Новые истцы вступили в дело о взыскании холдинга КДВ в доход РФ,enterprises_count,,,,enterprises_count,1,0,0.0,0.0,True
448,"Судебный процесс по возврату в госсобственность ""Саянскхимпласта"" начнется 13 мая",enterprises_count,crime_count,,crime_count,enterprises_count,1,1,0.0,0.0,True
459,Заявления Трампа по Газе могут повлиять на ход переговоров Израиля и ХАМАС,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
460,"Microsoft оштрафован на 3,5 млн рублей за нарушение законодательства России",crime_count,enterprises_count,,enterprises_count,crime_count,1,1,0.0,0.0,True
462,ВМС КНР вытеснили американский эсминец из спорной акватории в Южно-Китайском море,crime_count,,,,crime_count,1,0,0.0,0.0,True
463,"Трамп 13 января приказал готовиться к удару по Ирану, но передумал из-за возражений",crime_count,,,,crime_count,1,0,0.0,0.0,True
464,"РФ за 11 месяцев увеличила импорт рыбы из Чили на 40%, до $327 млн",industrial_production_index,consumer_price_index,,consumer_price_index,industrial_production_index,1,1,0.0,0.0,True
465,Нефтегазовая Sinopec в I полугодии сократила чистую прибыль на 36%,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
473,Вэнс заявил о недопустимости создания Ираном ядерного оружия,crime_count,,,,crime_count,1,0,0.0,0.0,True
478,"""Аэрофлот"" при открытии аэропортов юга мог бы перевезти в 2025 г. около 60 млн человек",enterprises_count,international_inflow,,international_inflow,enterprises_count,1,1,0.0,0.0,True
479,"Россияне в 2024 г. подали 606 тыс. заявлений на шенгенские визы, доля отказов - 7,5%",international_outflow,international_inflow,,international_inflow,international_outflow,1,1,0.0,0.0,True
483,Законопроект о заочной сделке с недвижимостью по биометрии принят в I чтении,housing_area_per_capita,enterprises_count,,enterprises_count,housing_area_per_capita,1,1,0.0,0.0,True
484,"В Кремле надеются, что заявления о ядерных испытаниях не скажутся на отношениях с США",crime_count,,,,crime_count,1,0,0.0,0.0,True
497,В США в I квартале производительность труда упала сильнее прогноза,industrial_production_index,consumer_price_index;unemployment_rate,,consumer_price_index;unemployment_rate,industrial_production_index,1,2,0.0,0.0,True
502,Белый дом назвал продуктивными переговоры США и Украины в Саудовской Аравии,crime_count,international_inflow,,international_inflow,crime_count,1,1,0.0,0.0,True
507,Чистая прибыль S7 в 2024 году упала на 34% при небольшом росте выручки и сокращении затрат,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
511,Беспилотник уничтожен в Ленинградской области,crime_count,,,,crime_count,1,0,0.0,0.0,True
512,На платформе подтверждения ИТ-компетенций получены уже более 36 тыс. сертификатов,unemployment_rate,,,,unemployment_rate,1,0,0.0,0.0,True
516,Роспотребнадзор не выявил в образцах рыбы из Черного моря несоответствия гигиеническим нормам,life_expectancy,air_pollution;wastewater_discharge,,air_pollution;wastewater_discharge,life_expectancy,1,2,0.0,0.0,True
519,В пострадавшем от взрыва газа доме под Тулой восстановили газоснабжение,housing_area_per_capita,crime_count,,crime_count,housing_area_per_capita,1,1,0.0,0.0,True
520,"Путин сообщил, что ВСУ пытаются двигаться в сторону российской границы",crime_count,,,,crime_count,1,0,0.0,0.0,True
530,"В Германии могут внести поправки, позволяющие сбивать неидентифицированные дроны",crime_count,,,,crime_count,1,0,0.0,0.0,True
534,Банк Японии допустил негативное влияние тарифной политики США на рост японской экономики,industrial_production_index,consumer_price_index,,consumer_price_index,industrial_production_index,1,1,0.0,0.0,True
535,"Землетрясение магнитудой 5,9 произошло в Индонезии",mortality_rate,,,,mortality_rate,1,0,0.0,0.0,True
536,В Ростовской области отразили атаку беспилотников,crime_count,,,,crime_count,1,0,0.0,0.0,True
538,Россия не будет менять преференции для отечественных компаний при возвращении иностранных,enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
549,"""Газпром"" зафиксировал объем размещения флоатера на уровне 40 млрд рублей",enterprises_count,industrial_production_index,,industrial_production_index,enterprises_count,1,1,0.0,0.0,True
553,"Международный аэропорт Каракаса и военная база ""Форт-Тиуна"" подверглись атакам",crime_count,,,,crime_count,1,0,0.0,0.0,True
555,Президент РФ назвал пиратством атаки Украины на суда в Черном море,crime_count,,,,crime_count,1,0,0.0,0.0,True
557,Совет государств Персидского залива принял решение об общих оборонительных мерах,crime_count,,,,crime_count,1,0,0.0,0.0,True
562,Трамп с Си Цзиньпином обсудили украинское урегулирование,crime_count,,,,crime_count,1,0,0.0,0.0,True
569,Суд заменил девелоперу Худояну неотбытый срок в колонии исправительными работами,crime_count,,,,crime_count,1,0,0.0,0.0,True
572,В Роспотребнадзоре назвали стабильной ситуацию с менингококковой инфекцией в РФ,life_expectancy,mortality_rate,,mortality_rate,life_expectancy,1,1,0.0,0.0,True
574,"Землетрясение магнитудой 5,6 зарегистрировано на Соломоновых островах",mortality_rate,,,,mortality_rate,1,0,0.0,0.0,True
