dataset_row_id,title,section,gold_direct,gold_context,gold_weak,pred,missed_direct,missed_context,missed_weak,extra_pred,n_missed,n_extra,full_text
76,Уиткофф и Кушнер в субботу отправятся в Израиль на встречу с Нетаньяху,В мире,,,,crime_count;international_inflow;international_outflow,,,,crime_count;international_inflow;international_outflow,0,3,"Москва. 24 января. INTERFAX.RU - Спецпосланники президента США Стив Уиткофф и Джаред Кушнер, как ожидается, позже в субботу прибудут в Израиль, где проведут встречу с премьер-министром страны Биньямином Нетаньяху.  ""Представитель канцелярии израильского премьера Шош Бедросян подтвердила, что встреча состоится, однако она отказалась назвать время и предоставить какие-либо другие детали"", - информирует Bloomberg.  Посольство США в Израиле также не предоставило агентству никаких комментариев.  Уиткофф и Кушнер в настоящее время находятся в Абу-Даби, где проходит трехсторонняя встреча (Россия, США, Украина) по урегулированию на Украине."
80,Президент Сирии аш-Шараа прибыл в Россию,В России,,unemployment_rate,industrial_production_index,enterprises_count;industrial_production_index;international_inflow;international_outflow,,unemployment_rate,,enterprises_count;international_inflow;international_outflow,1,3,"Он может обсудить с Путиным вопросы пребывания российских военных на базах в Сирии  Москва. 28 января. INTERFAX.RU - Президент Сирии Ахмед аш-Шараа прибыл с визитом в Москву. Кадры из правительственного аэропорта ""Внуково-2"" показал телеканал ""Россия-24"".  Переговоры аш-Шараа с президентом России Владимиром Путиным пройдут в Кремле.  На повестке дня переговоров много вопросов, в том числе касающихся взаимодействия в экономической сфере, сообщил на брифинге пресс-секретарь главы Путина Дмитрий Песков.  ""Будут российско-сирийские переговоры в формате рабочего завтрака. Также будет отдельная беседа президента и господина Шараа, - сказал он. - На повестке дня много вопросов, связанных с двусторонним взаимодействием, прежде всего в экономической сфере. Также обмен мнениями по ситуации в регионе, тем более что есть о чем поговорить"".  Песков отметил, что взаимоотношения с Сирией """"активно разв"
96,Сложная погода прогнозируется в регионах Дальнего Востока,В России,,wastewater_discharge,,consumer_price_index;housing_area_per_capita,,wastewater_discharge,,consumer_price_index;housing_area_per_capita,1,2,"Москва. 28 марта. INTERFAX.RU - Наиболее сложная погода в ближайшие дни среди всех российских регионов ожидается в регионах Дальнего Востока, где прогнозируется снег, метель и сильный ветер, сообщил ""Интерфаксу"" научный руководитель Гидрометцентра России Роман Вильфанд.  ""Наиболее сложная погода в ближайшие дни на Дальнем Востоке"", - сказал Вильфанд.  Он уточнил, что в Приморском крае в пятницу прогнозируется сильный снег, гололедные явления и ветер до 20 м/с. В центральных и южных районах Хабаровского края, в Еврейской автономной области, на юго-востоке Сахалина и на северо-востоке Якутии прогнозируется сильный снег.  На юге Камчатки 28-30 марта прогнозируется сильный мокрый снег, а на восточном побережье в эти же даты - метель и ветер до 30 м/с. На севере Камчатки прогнозируется сильный снег. На Чукотке в районе города Певек прогнозируется сильный ветер с порывами до 40 м/с и снег, мет"
106,"Кремль отметил, что рассматривает Стамбул как место для продолжения переговоров с Киевом",В России,,,,international_inflow;international_outflow,,,,international_inflow;international_outflow,0,2,"Москва. 28 мая. INTERFAX.RU - Стамбул в том числе рассматривается в качестве площадки для продолжения переговоров России и Украины, сообщил пресс-секретарь президента РФ Дмитрий Песков.  ""Безусловно, конечно"", - сказал Песков журналистам, отвечая на соответствующий вопрос.  Реагируя на уточнение о том, какие площадки являются предпочтительными для России, он сказал: ""Как минимум та, в которой был первый раунд. А остальное – это предмет уже взаимных договоренностей""."
115,Лавров 17 июня встретится в Москве с главой МИД Индонезии,В России,,life_expectancy;consumer_price_index,,hospitals;international_inflow;international_outflow,,consumer_price_index;life_expectancy,,hospitals;international_inflow;international_outflow,2,3,"Москва. 11 июня. INTERFAX.RU - Министр иностранных дел России Сергей Лавров 17 июня примет в Москве индонезийского коллегу Сугионо, сообщила на брифинге представитель МИД Мария Захарова.  ""В ходе переговоров планируется произвести обмен мнениями по широкому кругу вопросов двусторонней повестки дня, включая расширение политических контактов, в том числе на высшем уровне, связи в области безопасности, а также в торгово-экономической и гуманитарной сферах"", - сообщила она.  На переговорах МИД ""будет затронута и широкая повестка, а также совершенствование договорно-правовой базы отношений"". ""Также предполагаетс‌‌‌‌​​‌​‌‌​‍‌‌‌‌​​‌‌​​‌‍‌‌‌‌​​‌‌‌‌​‍‌‌‌‌​​​​‌‌‌‍‌‌‌‌‌​​​‌​‌‍‌‌‌‌‌​​​‌​‌‍‌‌‌‌​​‌​‌‌​‍‌‌‌‌​​‌‌​​‌‍‌‌‌‌​​‌‌‌‌​‍‌‌‌‌​​​​‌‌‌‍‌‌‌‌‌​‌​​‌​‍‌‌‌‌​​​‌‌​‌‍‌‌‌‌​​‌‌‌‌​‍‌‌‌‌​​‌​‌‌​‍‌‌‌‌​​‌‌‌​‌‍‌‌‌‌​​‌​​‌​‍‌‌‌‌​​‌‌‌‌​‍‌‌‌‌​​‌​​​‌я рассмотреть основные международные и региональные проблемы"", - сообщи"
120,"Каллас предложила меры против танкеров, перевозящих нефть РФ, вне санкционных пакетов",Экономика,,consumer_price_index;industrial_production_index,,air_pollution;consumer_price_index;enterprises_count;industrial_production_index,,,,air_pollution;enterprises_count,0,2,"Москва. 20 ноября. INTERFAX.RU - Меры, которые ЕС принимает против предполагаемых судов с российской нефтью, не обязательно должны быть частью больших санкционных пакетов, их можно применять в любое время, считает глава дипломатии ЕС Кая Каллас.  ""То есть надо действовать быстрее, не дожидаясь будущего пакета санкций"", - сказала высокий представитель Евросоюза по иностранным делам на пресс-конференции в Брюсселе в четверг после заседания Совета ЕС на уровне глав МИД.  По ее словам, большинство выступивших министров высказались за такой подход к так называемому ""теневому флоту"".  Каллас выразила уверенность в эффективности европейских санкций против таких нефтеналивных судов и считает, что дополнительные отдельные претензии на местах к этому флоту также могут создавать помехи для его функционирования. Она имеет в виду постановку вопросов о защите окружающей среды, состоянии страховки, дру"
122,Радиационная нагрузка на спутники увеличилась после солнечной вспышки высшего класса,В России,,air_pollution,,air_pollution;life_expectancy,,,,life_expectancy,0,1,"Москва. 19 января. INTERFAX.RU - Протоны, выброшенные после вспышки класса Х на Солнце, достигли орбиты Земли и увеличили радиационную нагрузку на космические аппараты, сообщили в лаборатории солнечной астрономии Института космических исследований и Института солнечно-земной физики РАН в понедельник.  ""Красный уровень"", начиная с которого отмечается опасное воздействие частиц высоких энергий на электронику космических аппаратов, превышен в настоящее время примерно в 50 раз и продолжает расти, что наблюдается только при прямом воздействии самых крупных солнечных вспышек на Землю"", - говорится в сообщении.  Отмечается, что плотность протонов с энергией выше 10 мегаэлектронвольт около Земли возросла за последние сутки более чем в 1000 раз.  Ранее в лаборатории сообщили, что на Солнце произошел направленный на Землю крупный выброс плазмы после вспышки X1.95.  Сообщалось, что предварительное "
147,"ЕС расширил санкции против платежных сервисов, в том числе СБП и карт ""Мир""",Экономика,,consumer_price_index;industrial_production_index;enterprises_count,,consumer_price_index;enterprises_count;international_outflow;real_income_index,,industrial_production_index,,international_outflow;real_income_index,1,2,"Они вступят в силу с 25 января 2026 года  Москва. 23 октября. INTERFAX.RU - Новые санкции Евросоюза расширяют ограничения против систем передачи финансовых сообщений, в том числе сервисов Национальной системы платежных карт (НСПК, оператор карт ""Мир"") и Системы быстрых платежей (СБП), сказано в официальном журнале ЕС.  ""Решение расширяет запрет на транзакции организаций и учреждений, подключенных к Системе передачи финансовых сообщений Банка России или к аналогичным специализированным службам обмена финансовыми сообщениями, созданными ЦБ, на другие платежные сервисы - такие, как Национальная система платежных карт (""Мир"") или Система быстрых платежей, созданные ЦБ или иными российскими организациями"", - говорится в публикации.  ЕС с 25 июня 2024 года запретил организациям и учреждениям союза, работающим за пределами России, использовать СПФС или аналогичные сервисы, созданные Банком Росс"
167,Авиация НАТО проводит в Эстонии учения на малой высоте,В мире,,,crime_count,crime_count;internal_departures;life_expectancy,,,,internal_departures;life_expectancy,0,2,"Москва. 1 декабря. INTERFAX.RU - В воздушном пространстве Эстонии в понедельник начались учения ВВС НАТО по отработке полетов на малой высоте, сообщила пресс-служба генерального штаба Сил обороны.  ""В ходе тренировок также могут выполняться также полеты на сверхзвуковой скорости, которые проводятся по согласованию с гражданскими авиадиспетчерскими службами и на предназначенных для этого высотах. Подобные тренировки необходимы для обеспечения готовности авиации НАТО к реагированию на возможные воздушные инциденты"", - говорится в сообщении.  Полеты базирующихся в Эстонии самолетов НАТО пройдут 1 по 7 декабря ноября над территорией всей республики на высоте не ниже 152 метров (500 футов).  Генштаб предупреждает население, что полеты на сверхзвуковой скорости сопровождаются ударной волной и звуковым ударом, который может быть похож на артиллерийский выстрел или взрыв.  Согласно решению Север"
183,Аэропорт Волгограда возобновил работу,В России,,,internal_arrivals;internal_departures;industrial_production_index,industrial_production_index;international_inflow;international_outflow,,,internal_arrivals;internal_departures,international_inflow;international_outflow,2,2,"Москва. 5 февраля. INTERFAX.RU - Аэропорт Волгограда вновь принимает и отправляет рейсы, говорится в сообщении Росавиации.  ""Аэропорт Волгоград. Сняты ограничения на прием и выпуск воздушных судов"", - отмечается в сообщении.  Ограничения вводились для обеспечения безопасности полетов и действовали более шести часов."
187,"Запрет на импорт в ЕС очищенных нефтепродуктов из нефти РФ не коснется США, Британии, Канады и Норвегии",В мире,,,internal_departures;consumer_price_index;industrial_production_index;air_pollution,consumer_price_index;enterprises_count;industrial_production_index;international_outflow;real_income_index,,,air_pollution;internal_departures,enterprises_count;international_outflow;real_income_index,2,3,"Москва. 18 июля. INTERFAX.RU - ЕС в рамках очередного пакета санкций в отношении России ввел в пятницу запрет на продукты переработки российской нефти.  ""ЕС вводит запрет на импорт на продукты переработки, изготовленные из российской нефти, которые могут поступить в третью страну"", - информирует Совет Евросоюза.  ""Исключение составляют Великобритания, Канада, Норвегия, США и Швейцария"", - отмечается в коммюнике.  Упомянутые страны не входят в ЕС."
199,Потери бюджета из-за нелегального табака оценены в 150 млрд рублей в год,Экономика,crime_count,per_capita_income;real_income_index;housing_area_per_capita;consumer_price_index;enterprises_count,,consumer_price_index;enterprises_count;industrial_production_index;living_wage;unemployment_rate,crime_count,housing_area_per_capita;per_capita_income;real_income_index,,industrial_production_index;living_wage;unemployment_rate,4,3,"Москва. 3 июня. INTERFAX.RU - Потери бюджета из-за нелегального оборота табачной и никотинсодержащей продукции ежегодно превышают 150 млрд рублей, сообщил директор по корпоративным отношениям и коммуникациям табачной компании JTI Россия Сергей Глушков на пленарной сессии в рамках Недели российского ритейла.  ""При этом потери добросовестных производителей этой продукции от нелегального оборота составляют 50 млрд рублей в год"", - сказал он.  По его словам, маркировка табачной и никотинсодержащей продукции позволяет снизить объемы нелегальной торговли. На исключение из оборота псевдоторговцев, нелегальных дилеров направлен и законопроект по лицензированию розничной торговли. Но при этом эксперт отметил имеющиеся риски: повышение барьеров для малого бизнеса, сокращение числа точек продаж легальной продукции увеличивает спрос на нелегальную продукцию.  Глушков также призвал усилить контроль з"
274,"Индия может снизить пошлины на импорт, включая автомобили и химикаты",Экономика,,,hospitals;consumer_price_index;industrial_production_index;wastewater_discharge,consumer_price_index;enterprises_count;industrial_production_index,,,hospitals;wastewater_discharge,enterprises_count,2,1,"Москва. 27 февраля. INTERFAX.RU - Индийские власти изучают возможность снижения пошлин на широкий спектр импортируемых товаров, чтобы избежать ответных мер, о которых ранее предупреждал президент США Дональд Трамп, сообщает Bloomberg со ссылкой на информированные источники.  По их словам, в правительстве Индии обсуждают снижение пошлин на ввоз в страну автомобилей, сельскохозяйственной и химической продукции, лекарственных препаратов, а также отдельных видов медицинской техники и электроники.  Ранее премьер-министр Индии Нарендра Моди объявил о снижении сборов с импорта некоторых товаров, включая дорогие мотоциклы и бурбон. Эти товары в страну поставляют преимущественно США, однако в небольшом объеме.  В Дели надеются, что такие усилия помогут Индии заключить торговую сделку с США к осени. Такую цель поставили лидеры обеих стран на встрече в Вашингтоне. Трамп обещал ввести пошлины на имп"
278,Себестоимость строительства многоквартирных домов вырастет в 2025 году более чем на 6%,Экономика,,per_capita_income;real_income_index;housing_area_per_capita;consumer_price_index;primary_housing_price_index,,consumer_price_index;housing_area_per_capita;real_income_index,,per_capita_income;primary_housing_price_index,,,2,0,"Москва. 14 августа. INTERFAX.RU - В России себестоимость строительства многоквартирных домов в 2025 году вырастет более чем на 6%, сказала на тематической онлайн-дискуссии руководитель центра компетенций практики ""Инжениринг"" Strategy Partners Ирина Долгих.  ""Себестоимость строительства за год вырастет больше чем на 6%. Я полагаю, что да, потому что за первое полугодие накоплено уже 4%, и до конца года будет не менее 6%. При благоприятном исходе ненамного больше"", - отметила она.  Эксперты в целом отметили, что рост себестоимости замедлился и теперь находится примерно на уровне инфляции, тогда как в прошлые годы себестоимость росла гораздо более высокими темпами.  ""6% мы точно перешагнем, где-то 8-9% будет. Но себестоимость строительства растет по инфляции, в отличие от нескольких прошлых лет"", - согласились участники дискуссии.  Они отметили, что в 2025 году застройщики фиксируют замедл"
319,Задержка движения поездов в Приамурье из-за схода вагона превысила девять часов,В России,crime_count,wastewater_discharge,internal_departures;industrial_production_index,crime_count;enterprises_count;industrial_production_index;internal_departures,,wastewater_discharge,,enterprises_count,1,1,"Москва. 18 февраля. INTERFAX.RU - Два пассажирских поезда продолжили движение с задержкой свыше девяти часов после завершения восстановительных работ на перегоне в Амурской области, где вечером во вторник с рельсов сошел вагон грузового поезда, сообщает в среду Дальневосточная железная дорога (ДВЖД, филиал ОАО ""РЖД"").  ""В среду на перегоне Путевой пост 2683 км - Верхнезейск завершены восстановительные работы. Пассажирский поезд № 363 Комсомольск-на-Амуре - Тында продолжил следование с опозданием 10 ч 12 мин, № 364 Тында - Комсомольск-на-Амуре отстает от графика на 9 часов"", - говорится в сообщении.  В ДВЖД отметили, что предпринимаются все необходимые меры для сокращения времени опоздания поездов и скорейшего введения их в график.  Сход вагона грузового поезда произошел в 21:51 местного времени на перегоне. На место был направлен восстановительный поезд."
340,Высшая квалификационная коллегия судей прекратила полномочия судьи Момотова,В России,crime_count,per_capita_income;real_income_index;consumer_price_index,,crime_count;enterprises_count;per_capita_income,,consumer_price_index;real_income_index,,enterprises_count,2,1,"Полномочия прекращены в связи с его заявлением об отставке  Москва. 26 сентября. INTERFAX.RU - Высшая квалификационная коллегия судей прекратила полномочия судьи Верховного суда РФ Виктора Момотова.  ""Прекратила полномочия Момотова В.В. - судьи Верховного суда РФ, секретаря Пленума Верховного суда РФ"", - сообщили в коллегии.  В сообщении отмечается, что полномочия прекращены в связи с заявлением судьи об отставке.  Как сообщалось, в Останкинский суд Москвы поступил иск Генпрокуратуры к главе Совета судей РФ Момотову об изъятии более 100 объектов недвижимости, а также к Андрею и Ивану Марченко, на которых, по мнению надзорного ведомства, и было оформлено это имущество. Беседа по делу назначена судом на 30 сентября.  В иске надзорное ведомство отмечает грубые нарушения Момотовым антикоррупционного законодательства, незаконную предпринимательскую деятельность, а также использование предоста"
