run_id,file_name,family,model,prompt,is_partial,n_news,n_rows,complete_36x_rows,json_errors,ensemble_op,ensemble_left,ensemble_right,threshold,threshold_value,scope,gold_pairs,pred_pairs,tp_pairs,fp_pairs_vs_scope,fn_pairs,mean_pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,gold_news,pred_any_news,news_with_true_hit,true_hit_news_coverage,false_relevant_news,missed_all_scope_news,ranking
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.10__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.10,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.10__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.10,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.15__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.15,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.15__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.15,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.15__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.15,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.15__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.15,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.20__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.20,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.20__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.20,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.20__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.20,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.20__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.20,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.25__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.25,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.25__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.25,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.25__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.25,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.25__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.25,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.30__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.30__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.30__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.30__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.35__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.35__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.35__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.35__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__ompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237_0.65__prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237_0.75,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237@0.65,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237@0.75,ensemble,,all,681,519,382,137,299,2.189873417721519,0.7360308285163777,0.5609397944199707,0.6366666666666667,0.3922823974779556,0.615000213101479,1.0,0.9620253164556962,0.9806451612903225,237,228,212,0.8945147679324894,0,9,all_ensemble_micro_f1
ensemble_OR__mpt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237_default__ompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237_0.65,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237@default,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237@0.65,ensemble,,all,681,542,389,153,292,2.2869198312236287,0.7177121771217713,0.5712187958883994,0.6361406377759607,0.4249155351194237,0.6158419639432297,1.0,0.9620253164556962,0.9806451612903225,237,228,213,0.8987341772151899,0,9,all_ensemble_micro_f1
ensemble_OR__prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237_0.05__ompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237_0.65,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237@0.05,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237@0.65,ensemble,,all,681,542,389,153,292,2.2869198312236287,0.7177121771217713,0.5712187958883994,0.6361406377759607,0.4249155351194237,0.6158419639432297,1.0,0.9620253164556962,0.9806451612903225,237,228,213,0.8987341772151899,0,9,all_ensemble_micro_f1
