dataset_row_id,title,gold,pred,tp,fp,fn,n_fp,n_fn,n_gold,n_pred
187,"Запрет на импорт в ЕС очищенных нефтепродуктов из нефти РФ не коснется США, Британии, Канады и Норвегии",internal_departures;consumer_price_index;industrial_production_index;air_pollution,international_inflow,,international_inflow,air_pollution;consumer_price_index;industrial_production_index;internal_departures,1,4,4,1
727,"Орбан посоветовал ЕС вкладывать деньги в свою экономику, а не тратить на Украину",per_capita_income;real_income_index;living_wage;consumer_price_index,international_outflow,,international_outflow,consumer_price_index;living_wage;per_capita_income;real_income_index,1,4,4,1
847,Президентский указ вводит государство в орган управления ДОСААФ,population_size;male_population;industrial_production_index;enterprises_count,international_inflow,,international_inflow,enterprises_count;industrial_production_index;male_population;population_size,1,4,4,1
864,Госдума приняла закон о дистанционном открытии счетов в рамках ЭПР,per_capita_income;real_income_index;enterprises_count;crime_count,consumer_price_index,,consumer_price_index,crime_count;enterprises_count;per_capita_income;real_income_index,1,4,4,1
168,Минстрой оценил в 415 млрд рублей просроченную задолженность за ЖКУ в РФ,real_income_index;living_wage;housing_area_per_capita;consumer_price_index;industrial_production_index;enterprises_count;wastewater_discharge,housing_area_per_capita;consumer_price_index;wastewater_discharge,consumer_price_index;housing_area_per_capita;wastewater_discharge,,enterprises_count;industrial_production_index;living_wage;real_income_index,0,4,7,3
207,Более 160 тонн загрязненного мазутом грунта вывезли с пляжей Севастополя,life_expectancy;hospitals;industrial_production_index;air_pollution;wastewater_discharge;mortality_rate,air_pollution;wastewater_discharge,air_pollution;wastewater_discharge,,hospitals;industrial_production_index;life_expectancy;mortality_rate,0,4,6,2
329,"Мужчине, пытавшемуся отравить 70 летчиков РФ, ужесточили приговор до пожизненного",life_expectancy;male_population;consumer_price_index;industrial_production_index;crime_count;mortality_rate,crime_count;mortality_rate,crime_count;mortality_rate,,consumer_price_index;industrial_production_index;life_expectancy;male_population,0,4,6,2
362,"Рынок акций РФ открылся в утреннюю сессию снижением индекса IMOEX2 на 0,9%",per_capita_income;real_income_index;consumer_price_index;industrial_production_index;enterprises_count;mortality_rate,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;mortality_rate;per_capita_income;real_income_index,0,4,6,2
383,"Нефть ускорила рост, Brent подорожала до $65,72 за баррель",life_expectancy;real_income_index;consumer_price_index;industrial_production_index;enterprises_count;air_pollution,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,air_pollution;enterprises_count;life_expectancy;real_income_index,0,4,6,2
214,РСА определил 10 регионов с максимальной долей судебных издержек по ОСАГО,life_expectancy;per_capita_income;enterprises_count;crime_count;mortality_rate,crime_count,crime_count,,enterprises_count;life_expectancy;mortality_rate;per_capita_income,0,4,5,1
943,Аналитики прогнозируют сохранение ставки ЦБ РФ на уровне 21%,per_capita_income;real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index,consumer_price_index,,enterprises_count;industrial_production_index;per_capita_income;real_income_index,0,4,5,1
278,Себестоимость строительства многоквартирных домов вырастет в 2025 году более чем на 6%,per_capita_income;real_income_index;housing_area_per_capita;consumer_price_index;primary_housing_price_index,population_size;hospitals;large_families_housing;consumer_price_index;primary_housing_price_index;industrial_production_index,consumer_price_index;primary_housing_price_index,hospitals;industrial_production_index;large_families_housing;population_size,housing_area_per_capita;per_capita_income;real_income_index,4,3,5,6
65,Жители двух белгородских сел остались без света после атаки дронов ВСУ,life_expectancy;industrial_production_index;crime_count;mortality_rate,hospitals;housing_area_per_capita;crime_count;air_pollution,crime_count,air_pollution;hospitals;housing_area_per_capita,industrial_production_index;life_expectancy;mortality_rate,3,3,4,4
791,"Самозапрет на кредиты оформили на ""Госуслугах"" 13,5 млн россиян",per_capita_income;real_income_index;housing_area_per_capita;industrial_production_index,international_inflow;per_capita_income;consumer_price_index;enterprises_count,per_capita_income,consumer_price_index;enterprises_count;international_inflow,housing_area_per_capita;industrial_production_index;real_income_index,3,3,4,4
809,ЛЭП и здание предприятия повреждены атаками ВСУ в Белгородской области,life_expectancy;housing_area_per_capita;industrial_production_index;enterprises_count;crime_count,hospitals;industrial_production_index;crime_count;air_pollution,crime_count;industrial_production_index,air_pollution;hospitals,enterprises_count;housing_area_per_capita;life_expectancy,2,3,5,4
91,На подлете к Севастополю сбито три воздушные цели,life_expectancy;industrial_production_index;crime_count;mortality_rate,hospitals;crime_count;air_pollution,crime_count,air_pollution;hospitals,industrial_production_index;life_expectancy;mortality_rate,2,3,4,3
70,Число алиментных соглашений в 2024 году увеличилось на 21%,divorce_rate;marriage_rate;children_benefits,child_living_wage;consumer_price_index,,child_living_wage;consumer_price_index,children_benefits;divorce_rate;marriage_rate,2,3,3,2
324,"""Аэрофлот"" 1 марта отменяет рейсы в Дубай и Абу-Даби",life_expectancy;crime_count;mortality_rate,international_inflow;international_outflow,,international_inflow;international_outflow,crime_count;life_expectancy;mortality_rate,2,3,3,2
562,Трамп с Си Цзиньпином обсудили украинское урегулирование,real_income_index;consumer_price_index;industrial_production_index,international_inflow;international_outflow,,international_inflow;international_outflow,consumer_price_index;industrial_production_index;real_income_index,2,3,3,2
939,В Орловской области после атаки БПЛА произошло возгорание на объектах ТЭК,life_expectancy;crime_count;mortality_rate,industrial_production_index;air_pollution,,air_pollution;industrial_production_index,crime_count;life_expectancy;mortality_rate,2,3,3,2
899,МЧС поставит в Белгородскую область 176 передвижных электростанций,life_expectancy;hospitals;housing_area_per_capita;industrial_production_index;crime_count;wastewater_discharge,hospitals;industrial_production_index;crime_count;air_pollution,crime_count;hospitals;industrial_production_index,air_pollution,housing_area_per_capita;life_expectancy;wastewater_discharge,1,3,6,4
92,"Суд по иску конкурсного управляющего российского ""Гугла"" взыскал с Google Ireland Limited 101,6 млрд руб.",per_capita_income;real_income_index;industrial_production_index;enterprises_count,consumer_price_index;enterprises_count,enterprises_count,consumer_price_index,industrial_production_index;per_capita_income;real_income_index,1,3,4,2
274,"Индия может снизить пошлины на импорт, включая автомобили и химикаты",hospitals;consumer_price_index;industrial_production_index;wastewater_discharge,international_inflow;consumer_price_index,consumer_price_index,international_inflow,hospitals;industrial_production_index;wastewater_discharge,1,3,4,2
306,"МИД РФ осудил атаку на танкеры, зафрахтованные для перевозки казахстанской нефти",life_expectancy;industrial_production_index;enterprises_count;crime_count,international_outflow;industrial_production_index,industrial_production_index,international_outflow,crime_count;enterprises_count;life_expectancy,1,3,4,2
351,"ЦИК РФ введет ГАС ""Выборы"" версии 2.0 в постоянную эксплуатацию с 6 февраля",per_capita_income;real_income_index;consumer_price_index;industrial_production_index,industrial_production_index;enterprises_count,industrial_production_index,enterprises_count,consumer_price_index;per_capita_income;real_income_index,1,3,4,2
555,Президент РФ назвал пиратством атаки Украины на суда в Черном море,life_expectancy;industrial_production_index;enterprises_count;crime_count,international_outflow;crime_count,crime_count,international_outflow,enterprises_count;industrial_production_index;life_expectancy,1,3,4,2
801,"Сбербанк в ноябре нарастил корпоративные кредиты по РСБУ на 0,4%",per_capita_income;real_income_index;housing_area_per_capita;industrial_production_index,industrial_production_index;enterprises_count,industrial_production_index,enterprises_count,housing_area_per_capita;per_capita_income;real_income_index,1,3,4,2
147,"ЕС расширил санкции против платежных сервисов, в том числе СБП и карт ""Мир""",consumer_price_index;industrial_production_index;enterprises_count,international_inflow,,international_inflow,consumer_price_index;enterprises_count;industrial_production_index,1,3,3,1
573,Глава Роспотребнадзора рассказала про зарубежный интерес к противоэпидемическим разработкам РФ,per_capita_income;living_wage;qualified_doctors,international_inflow,,international_inflow,living_wage;per_capita_income;qualified_doctors,1,3,3,1
717,"Более 87% детей иностранцев, подавших заявки, не зачислены в российские школы в 2025",life_expectancy;preschool_coverage;enterprises_count,international_inflow,,international_inflow,enterprises_count;life_expectancy;preschool_coverage,1,3,3,1
887,В ЕС предложили создать фонд добровольной военной помощи Украине,industrial_production_index;enterprises_count;crime_count,international_inflow,,international_inflow,crime_count;enterprises_count;industrial_production_index,1,3,3,1
199,Потери бюджета из-за нелегального табака оценены в 150 млрд рублей в год,per_capita_income;real_income_index;housing_area_per_capita;consumer_price_index;enterprises_count;crime_count,consumer_price_index;enterprises_count;crime_count,consumer_price_index;crime_count;enterprises_count,,housing_area_per_capita;per_capita_income;real_income_index,0,3,6,3
381,СК России возбудил уголовное дело по факту гибели подростка в Подмосковье,infant_mortality;life_expectancy;unemployment_rate;hospitals;crime_count;mortality_rate,hospitals;crime_count;mortality_rate,crime_count;hospitals;mortality_rate,,infant_mortality;life_expectancy;unemployment_rate,0,3,6,3
355,Инвесторам в МТОР в ДФО компенсируют до 100% ставки ЦБ по инфраструктурным кредитам,per_capita_income;real_income_index;consumer_price_index;industrial_production_index;enterprises_count,industrial_production_index;enterprises_count,enterprises_count;industrial_production_index,,consumer_price_index;per_capita_income;real_income_index,0,3,5,2
378,"Cochilco повысила прогноз цен на медь до $4,45 за фунт в 2025 году и до $4,55 в 2026 году",life_expectancy;real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;life_expectancy;real_income_index,0,3,5,2
380,Рынок акций РФ в среду упал ниже 2700п по индексу МосБиржи на опасениях новых санкций,per_capita_income;real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;per_capita_income;real_income_index,0,3,5,2
694,Мишустин пообещал стимулировать спрос на разработки в станкостроении для поддержки отрасли,per_capita_income;real_income_index;housing_area_per_capita;industrial_production_index;enterprises_count,industrial_production_index;enterprises_count,enterprises_count;industrial_production_index,,housing_area_per_capita;per_capita_income;real_income_index,0,3,5,2
54,Срок предоставления рыбных инвестквот предлагается продлить с 15 до 20 лет,per_capita_income;real_income_index;industrial_production_index;enterprises_count,industrial_production_index,industrial_production_index,,enterprises_count;per_capita_income;real_income_index,0,3,4,1
121,Проект о передаче под контроль ЦБ регулирования сервисов покупок в рассрочку принят в I чтении,per_capita_income;real_income_index;consumer_price_index;enterprises_count,consumer_price_index,consumer_price_index,,enterprises_count;per_capita_income;real_income_index,0,3,4,1
376,Эквадор готов принять российских проверяющих для аудита производителей бананов,industrial_production_index;enterprises_count;air_pollution;wastewater_discharge,industrial_production_index,industrial_production_index,,air_pollution;enterprises_count;wastewater_discharge,0,3,4,1
412,"Частный акционер остался во главе совета директоров ""Петербургского нефтетерминала""",industrial_production_index;enterprises_count;crime_count;air_pollution,enterprises_count,enterprises_count,,air_pollution;crime_count;industrial_production_index,0,3,4,1
506,ЦБ 2 сентября проведет пресс-конференцию Заботкина по проекту основных направлений ДКП,per_capita_income;real_income_index;consumer_price_index;enterprises_count,consumer_price_index,consumer_price_index,,enterprises_count;per_capita_income;real_income_index,0,3,4,1
564,"Brent подешевела до $76,38 за баррель",international_outflow;real_income_index;consumer_price_index;industrial_production_index,industrial_production_index,industrial_production_index,,consumer_price_index;international_outflow;real_income_index,0,3,4,1
596,Цены на российских АЗС значительно выросли в новогодние каникулы,real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index,consumer_price_index,,enterprises_count;industrial_production_index;real_income_index,0,3,4,1
377,Три человека погибли от отравления угарным газом в Дагестане,life_expectancy;industrial_production_index;mortality_rate,hospitals;crime_count;air_pollution;mortality_rate,mortality_rate,air_pollution;crime_count;hospitals,industrial_production_index;life_expectancy,3,2,3,4
868,"Режим ЧС введен на месте пожара в Каменске-Шахтинском, где сгорели дома",life_expectancy;per_capita_income;housing_area_per_capita,hospitals;housing_area_per_capita;crime_count;air_pollution,housing_area_per_capita,air_pollution;crime_count;hospitals,life_expectancy;per_capita_income,3,2,3,4
152,"В Туле оцепили часть улицы, где найдены опасные обломки БПЛА",life_expectancy;housing_area_per_capita;crime_count;mortality_rate,life_expectancy;hospitals;crime_count;air_pollution,crime_count;life_expectancy,air_pollution;hospitals,housing_area_per_capita;mortality_rate,2,2,4,4
858,В Удмуртии отменили введенный после атаки БПЛА в Ижевске режим ЧС,life_expectancy;enterprises_count;crime_count;mortality_rate,hospitals;industrial_production_index;crime_count;mortality_rate,crime_count;mortality_rate,hospitals;industrial_production_index,enterprises_count;life_expectancy,2,2,4,4
723,Закон о штрафах до 500 тыс. руб. за продажу детям энергетиков принят Госдумой,life_expectancy;industrial_production_index;crime_count,infant_mortality;child_living_wage;crime_count,crime_count,child_living_wage;infant_mortality,industrial_production_index;life_expectancy,2,2,3,3
790,Зерноград в Ростовской области остался без воды из-за аварии,life_expectancy;housing_area_per_capita;wastewater_discharge,hospitals;industrial_production_index;wastewater_discharge,wastewater_discharge,hospitals;industrial_production_index,housing_area_per_capita;life_expectancy,2,2,3,3
829,Медсправки для водителей останутся в прежнем формате до 2027 года,life_expectancy;hospitals;outpatient_clinics,hospitals;qualified_doctors;industrial_production_index,hospitals,industrial_production_index;qualified_doctors,life_expectancy;outpatient_clinics,2,2,3,3
120,"Каллас предложила меры против танкеров, перевозящих нефть РФ, вне санкционных пакетов",consumer_price_index;industrial_production_index,international_inflow;international_outflow,,international_inflow;international_outflow,consumer_price_index;industrial_production_index,2,2,2,2
524,Путин назвал отношения с Трампом деловыми и доверительными,consumer_price_index;industrial_production_index,international_inflow;international_outflow,,international_inflow;international_outflow,consumer_price_index;industrial_production_index,2,2,2,2
572,В Роспотребнадзоре назвали стабильной ситуацию с менингококковой инфекцией в РФ,international_inflow;life_expectancy,air_pollution;mortality_rate,,air_pollution;mortality_rate,international_inflow;life_expectancy,2,2,2,2
157,"""СПБ биржа"" сообщила о регуляторных сложностях с запуском торгов заблокированными акциями",real_income_index;consumer_price_index;industrial_production_index;enterprises_count,industrial_production_index;enterprises_count;crime_count,enterprises_count;industrial_production_index,crime_count,consumer_price_index;real_income_index,1,2,4,3
161,"МВФ снизил прогноз роста ВВП РФ на 2025 год до 0,9%",real_income_index;consumer_price_index;industrial_production_index;enterprises_count,unemployment_rate;consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,unemployment_rate,enterprises_count;real_income_index,1,2,4,3
290,"Квартальная выручка УК сети клиник ""Мать и дитя"" выросла на 40,3%",hospitals;qualified_doctors;enterprises_count;birth_rate_per_1000,hospitals;outpatient_clinics;qualified_doctors,hospitals;qualified_doctors,outpatient_clinics,birth_rate_per_1000;enterprises_count,1,2,4,3
302,В Туле после гибели пяти человек в октябрьской аварии трамвая возбудили дело о халатности,life_expectancy;industrial_production_index;crime_count;mortality_rate,hospitals;crime_count;mortality_rate,crime_count;mortality_rate,hospitals,industrial_production_index;life_expectancy,1,2,4,3
560,"Военные РФ сообщили, что ВСУ ночью атаковали энергообъект на Кубани, обеспечивающий перевалку нефти в КТК",life_expectancy;industrial_production_index;enterprises_count;crime_count,industrial_production_index;crime_count;air_pollution,crime_count;industrial_production_index,air_pollution,enterprises_count;life_expectancy,1,2,4,3
843,"""Объединенные пивоварни"" сменили название на ""Пивоварни Бочкарев""",housing_area_per_capita;consumer_price_index;industrial_production_index;enterprises_count,per_capita_income;industrial_production_index;enterprises_count,enterprises_count;industrial_production_index,per_capita_income,consumer_price_index;housing_area_per_capita,1,2,4,3
204,Китай в ноябре неожиданно снизил импорт газа на фоне подорожания СПГ,real_income_index;consumer_price_index;industrial_production_index,international_inflow;industrial_production_index,industrial_production_index,international_inflow,consumer_price_index;real_income_index,1,2,3,2
267,Доля крупнейших банков на аукционах ОФЗ в августе упала до минимума в 2025 г.,per_capita_income;real_income_index;enterprises_count,consumer_price_index;enterprises_count,enterprises_count,consumer_price_index,per_capita_income;real_income_index,1,2,3,2
317,Владельцы пострадавших от атаки БПЛА домов в Анапе получат помощь властей,life_expectancy;housing_area_per_capita;crime_count,hospitals;crime_count,crime_count,hospitals,housing_area_per_capita;life_expectancy,1,2,3,2
472,Жители Ингушетии получили 25 лет на двоих за подготовку к диверсии,life_expectancy;crime_count;birth_rate_per_1000,crime_count;mortality_rate,crime_count,mortality_rate,birth_rate_per_1000;life_expectancy,1,2,3,2
486,Аэропорт Самары возобновил прием и выпуск рейсов,internal_arrivals;internal_departures;industrial_production_index,international_inflow;industrial_production_index,industrial_production_index,international_inflow,internal_arrivals;internal_departures,1,2,3,2
549,"""Газпром"" зафиксировал объем размещения флоатера на уровне 40 млрд рублей",per_capita_income;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,industrial_production_index,consumer_price_index,enterprises_count;per_capita_income,1,2,3,2
837,ЕС продлил санкции против РФ на полгода,industrial_production_index;enterprises_count;air_pollution,international_outflow;industrial_production_index,industrial_production_index,international_outflow,air_pollution;enterprises_count,1,2,3,2
80,Президент Сирии аш-Шараа прибыл в Россию,unemployment_rate;industrial_production_index,international_inflow,,international_inflow,industrial_production_index;unemployment_rate,1,2,2,1
81,Роспотребнадзор не исключил роста заболеваемости геморрагической лихорадкой в РФ,life_expectancy;industrial_production_index,mortality_rate,,mortality_rate,industrial_production_index;life_expectancy,1,2,2,1
115,Лавров 17 июня встретится в Москве с главой МИД Индонезии,life_expectancy;consumer_price_index,international_inflow,,international_inflow,consumer_price_index;life_expectancy,1,2,2,1
561,Госдума утвердила состав делегации для переговоров с конгрессменами США,industrial_production_index;enterprises_count,international_inflow,,international_inflow,enterprises_count;industrial_production_index,1,2,2,1
781,Начальные классы перевели на дистант из-за морозов в Воронеже,preschool_coverage;enterprises_count,air_pollution,,air_pollution,enterprises_count;preschool_coverage,1,2,2,1
859,"Россия задействовала авиацию и атомную подлодку на учении ""Запад-2025"" в Баренцевом море",consumer_price_index;wastewater_discharge,industrial_production_index,,industrial_production_index,consumer_price_index;wastewater_discharge,1,2,2,1
860,Путин 8 мая проведет переговоры с Си Цзиньпином,consumer_price_index;industrial_production_index,international_inflow,,international_inflow,consumer_price_index;industrial_production_index,1,2,2,1
715,В Волгореченске после атаки БПЛА школы и детские сады закрыли на сутки,life_expectancy;preschool_coverage;industrial_production_index;crime_count;mortality_rate,life_expectancy;preschool_coverage;crime_count,crime_count;life_expectancy;preschool_coverage,,industrial_production_index;mortality_rate,0,2,5,3
890,Количество пострадавших в ДТП в Тульской области увеличилось до 14,internal_departures;life_expectancy;hospitals;crime_count;mortality_rate,life_expectancy;hospitals;crime_count,crime_count;hospitals;life_expectancy,,internal_departures;mortality_rate,0,2,5,3
67,"Нефть усилила падение, Brent теряет 5,6% и торгуется у $70,8 за баррель",real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;real_income_index,0,2,4,2
117,"Бенефициар ""Облкоммунэнерго"" Алексей Бобров задержан в Екатеринбурге",per_capita_income;industrial_production_index;enterprises_count;crime_count,enterprises_count;crime_count,crime_count;enterprises_count,,industrial_production_index;per_capita_income,0,2,4,2
119,"Минэнерго ждет снижения добычи угля в 2025 г. в Кузбассе на 5-6%, если ситуация не изменится",real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;real_income_index,0,2,4,2
158,Brent остается в минусе и торгуется у $69 за баррель,real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;real_income_index,0,2,4,2
265,Хакеры могут спровоцировать в японской рознице дефицит самого популярного пива,consumer_price_index;industrial_production_index;enterprises_count;crime_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,crime_count;enterprises_count,0,2,4,2
270,"Законопроект о ""периоде охлаждения"" в потребительском кредитовании прошел I чтение",per_capita_income;real_income_index;consumer_price_index;enterprises_count,per_capita_income;consumer_price_index,consumer_price_index;per_capita_income,,enterprises_count;real_income_index,0,2,4,2
282,"ВЭБ и ПСБ выдадут синдицированный кредит на 24 млрд руб. на электромобиль ""Атом""",per_capita_income;real_income_index;industrial_production_index;enterprises_count,industrial_production_index;enterprises_count,enterprises_count;industrial_production_index,,per_capita_income;real_income_index,0,2,4,2
319,Задержка движения поездов в Приамурье из-за схода вагона превысила девять часов,internal_departures;industrial_production_index;crime_count;wastewater_discharge,internal_departures;industrial_production_index,industrial_production_index;internal_departures,,crime_count;wastewater_discharge,0,2,4,2
340,Высшая квалификационная коллегия судей прекратила полномочия судьи Момотова,per_capita_income;real_income_index;consumer_price_index;crime_count,consumer_price_index;crime_count,consumer_price_index;crime_count,,per_capita_income;real_income_index,0,2,4,2
343,"Семейную налоговую выплату в 2026 г. получат 7,3 млн работающих родителей двух и более детей",per_capita_income;living_wage;children_benefits;industrial_production_index,per_capita_income;children_benefits,children_benefits;per_capita_income,,industrial_production_index;living_wage,0,2,4,2
404,Российские производители мяса озабочены резким ростом импорта курятины из Китая,real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;real_income_index,0,2,4,2
516,Роспотребнадзор не выявил в образцах рыбы из Черного моря несоответствия гигиеническим нормам,industrial_production_index;enterprises_count;air_pollution;wastewater_discharge,air_pollution;wastewater_discharge,air_pollution;wastewater_discharge,,enterprises_count;industrial_production_index,0,2,4,2
629,"""Новабев Групп"" в 2024 году снизила отгрузки алкогольной продукции на 4,2%",real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;real_income_index,0,2,4,2
657,Поиски пропавшего вертолета возобновились в Хабаровском крае,life_expectancy;enterprises_count;crime_count;mortality_rate,crime_count;mortality_rate,crime_count;mortality_rate,,enterprises_count;life_expectancy,0,2,4,2
774,"Котировки Brent замедлили рост до $81,34 за баррель",consumer_price_index;industrial_production_index;enterprises_count;crime_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,crime_count;enterprises_count,0,2,4,2
780,"Brent подешевела до $68,24 за баррель",real_income_index;consumer_price_index;industrial_production_index;crime_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,crime_count;real_income_index,0,2,4,2
867,"""АвтоВАЗ"" снизил план продаж Lada в феврале на 15%",per_capita_income;real_income_index;industrial_production_index;enterprises_count,industrial_production_index;enterprises_count,enterprises_count;industrial_production_index,,per_capita_income;real_income_index,0,2,4,2
966,Сводный индекс Stoxx Europe 600 обновил исторический максимум,real_income_index;consumer_price_index;industrial_production_index;enterprises_count,consumer_price_index;industrial_production_index,consumer_price_index;industrial_production_index,,enterprises_count;real_income_index,0,2,4,2
1,Путин поручил разработать план подъема двух затонувших в Черном море танкеров,industrial_production_index;air_pollution;wastewater_discharge,industrial_production_index,industrial_production_index,,air_pollution;wastewater_discharge,0,2,3,1
40,"""Газпром"" и ""ЛУКОЙЛ"" ликвидируют сбытовое СП ""Газ-Ойл Трейдинг""",industrial_production_index;enterprises_count;air_pollution,enterprises_count,enterprises_count,,air_pollution;industrial_production_index,0,2,3,1
72,В правительстве заявили о готовности предложить Китаю поставки авиакомплектующих,industrial_production_index;enterprises_count;crime_count,industrial_production_index,industrial_production_index,,crime_count;enterprises_count,0,2,3,1
83,В Петербурге легальным мигрантам запретили работать курьерами,international_inflow;unemployment_rate;enterprises_count,international_inflow,international_inflow,,enterprises_count;unemployment_rate,0,2,3,1
105,Инвестиции в нефтегазовый сектор Норвегии достигнут пика в 2025 г. и снизятся в 2026 г.,consumer_price_index;industrial_production_index;enterprises_count,industrial_production_index,industrial_production_index,,consumer_price_index;enterprises_count,0,2,3,1
183,Аэропорт Волгограда возобновил работу,internal_arrivals;internal_departures;industrial_production_index,industrial_production_index,industrial_production_index,,internal_arrivals;internal_departures,0,2,3,1
294,Решетников сообщил об упрощении визового режима для иностранных туристов,international_inflow;consumer_price_index;industrial_production_index,international_inflow,international_inflow,,consumer_price_index;industrial_production_index,0,2,3,1
349,"США, Европа и Украина планируют выстроить общую позицию на переговорах с Путиным",international_inflow;consumer_price_index;wastewater_discharge,international_inflow,international_inflow,,consumer_price_index;wastewater_discharge,0,2,3,1
446,Финтех-подразделение Ozon размещает ЦФА на 3 млрд рублей,per_capita_income;industrial_production_index;enterprises_count,enterprises_count,enterprises_count,,industrial_production_index;per_capita_income,0,2,3,1
468,Аэропорт Калуги возобновил работу,internal_arrivals;internal_departures;industrial_production_index,internal_arrivals,internal_arrivals,,industrial_production_index;internal_departures,0,2,3,1
